# target_key=vie_Latn  lang_code=vi
# Σ_target=1,002,288,154  marg_total=87,843,958,530  marg_keys=87
# alpha=0.5  delta=1.0  min_count=100
# variant=B (rate test only — no char mask)
# 1,598 tokens, sorted by count desc
{130052: ' đem'}
{62162: 'ếp'}
{86954: None}
{104849: ' Phương'}
{38796: 'ỳ'}
{80705: ' Nha'}
{6947: ' song'}
{119622: ' kiểu'}
{84388: ' Hòa'}
{15931: ' TH'}
{87439: None}
{14282: ' Kim'}
{120128: ' hủy'}
{22918: 'ạng'}
{61013: ' mê'}
{100441: ' chiếu'}
{1198: None}
{115366: ' hiệp'}
{41994: None}
{53661: 'ều'}
{41183: 'CM'}
{76414: ' Tân'}
{126309: ' UB'}
{102744: ' Dân'}
{89254: ' khúc'}
{130879: ' Phạm'}
{48352: 'ìm'}
{125814: ' màn'}
{104144: ' dương'}
{122194: ' Tại'}
{101140: ' Bảo'}
{64240: 'guồn'}
{105738: 'ẩy'}
{90669: ' Tư'}
{63382: 'Năm'}
{10246: '.v'}
{65807: ' Phi'}
{96196: ' Quảng'}
{33453: 'kh'}
{113188: ' tây'}
{89343: ' Quang'}
{57880: 'ịnh'}
{18193: 'ển'}
{32943: ' truy'}
{34865: 'àu'}
{87912: ' Nhân'}
{23793: 'ưởng'}
{109066: ' lượt'}
{71801: ' Lý'}
{30161: 'ọi'}
{99181: ' Hàn'}
{78881: ' cán'}
{58177: ' thuy'}
{63257: ' Ngày'}
{109229: ' đài'}
{21988: 'Cu'}
{31521: 'òa'}
{99184: ' Tiên'}
{98423: ' Quy'}
{91527: ' Giang'}
{125061: ' thua'}
{100434: ' Phú'}
{51424: 'ẳ'}
{120054: 'iễn'}
{93084: ' trấn'}
{115051: ' huấn'}
{16705: 'NG'}
{121677: ' lính'}
{5335: ' củ'}
{123477: ' Phó'}
{78641: ' đế'}
{50449: ' Cao'}
{59752: ' Quân'}
{117028: ' Hiệp'}
{7578: ' ép'}
{119067: ' khán'}
{77256: ' Huy'}
{55720: 'ủy'}
{59998: 'âng'}
{122352: ' Linh'}
{5225: 'ậ'}
{93303: 'ụy'}
{95914: ' bắc'}
{111719: ' sứ'}
{79035: ' Gia'}
{120338: ' Đài'}
{123244: ' Tổ'}
{35112: 'ọng'}
{126832: ' Cơ'}
{12313: None}
{64139: ' Vương'}
{122075: ' diệt'}
{28283: ' bom'}
{116400: ' đạn'}
{75556: 'Vào'}
{18791: 'guy'}
{6646: None}
{91858: ' Ninh'}
{54193: ' dao'}
{123854: ' Phan'}
{119142: ' hàm'}
{129528: ' Đình'}
{112605: ' tán'}
{41880: ' Syria'}
{119555: ' ương'}
{127348: ' Đo'}
{69202: ' Vào'}
{21847: ' Cho'}
{85181: ' Chiến'}
{100304: ' hô'}
{129268: ' Đến'}
{125455: ' Khu'}
{51489: 'LV'}
{54463: 'ượt'}
{112117: ' xứ'}
{79538: ' Ngo'}
{108750: ' Ý'}
{103498: ' Thượng'}
{105163: ' giáp'}
{78996: ' Xô'}
{19865: ' Chi'}
{29171: ' chim'}
{99104: ' Tập'}
{45123: ' Ví'}
{46762: 'ằm'}
{84810: 'ưỡ'}
{125538: ' Triều'}
{68017: ' Loan'}
{109842: ' Lâm'}
{123056: ' Khánh'}
{43578: ' Ai'}
{77061: ' triều'}
{122308: ' ủy'}
{66801: 'uyện'}
{106602: ' Phong'}
{130749: ' sót'}
{62370: ' vương'}
{62181: 'ữu'}
{125152: ' vang'}
{78669: ' pháo'}
{114001: 'ịa'}
{33665: 'ĩa'}
{16414: ' tiế'}
{93863: ' Giải'}
{23607: ' HC'}
{105760: ' Ủy'}
{106912: ' Định'}
{30759: 'úp'}
{30115: 'ệu'}
{25311: ' Tru'}
{118311: ' Hưng'}
{66224: ' Biden'}
{114170: ' phái'}
{24856: 'ợp'}
{19644: 'NH'}
{106825: ' Đường'}
{12752: ' mét'}
{113136: ' Yên'}
{121829: ' trục'}
{24093: 'HC'}
{98421: ' bó'}
{125099: ' ngựa'}
{79747: ' ám'}
{120668: 'Hai'}
{50341: ' Chu'}
{125973: ' Ngô'}
{37477: 'iao'}
{113583: ' Võ'}
{34042: ' Cha'}
{68710: None}
{119227: ' Vĩnh'}
{76003: ' Mã'}
{104574: ' đĩa'}
{66768: 'ẩu'}
{13323: 'ằ'}
{113537: ' Hán'}
{94497: ' Lưu'}
{12452: '-x'}
{10382: 'ặ'}
{72845: ' Là'}
{101252: ' Tháng'}
{65155: ' Quan'}
{86423: ' tồ'}
{30309: ' Iraq'}
{125022: ' Số'}
{30398: ' Philippines'}
{63249: None}
{25025: ' chuy'}
{75424: 'có'}
{128388: ' Trương'}
{82960: ' Xin'}
{129721: ' ong'}
{23678: 'ưở'}
{73372: ' cai'}
{44886: ' tám'}
{48555: 'ghi'}
{57549: ' soi'}
{96388: ' cong'}
{76732: ' tứ'}
{129437: ' Thi'}
{26512: ' Singapore'}
{24499: ' vaccine'}
{20434: ' hung'}
{24095: 'Cho'}
{108543: ' Đội'}
{126663: 'Thu'}
{114895: 'ửi'}
{17380: ' NH'}
{17948: ' Brazil'}
{24639: None}
{34389: ' Â'}
{112404: ' bá'}
{73725: ' Sao'}
{77950: ' tị'}
{66789: 'iễ'}
{109515: ' tước'}
{19670: ' CL'}
{65542: ' lau'}
{89323: ' Ronaldo'}
{40984: ' TS'}
{65420: ' cay'}
{26624: ' Olympic'}
{54320: 'hao'}
{93468: ' Lao'}
{91057: ' Tú'}
{96897: 'Â'}
{128229: 'Tháng'}
{73659: ' Chung'}
{113389: ' tê'}
{100536: ' Uy'}
{66297: None}
{89744: ' Bí'}
{126533: ' Sư'}
{98832: 'VN'}
{130309: ' nô'}
{122287: ' hạm'}
{103683: ' rung'}
{105549: ' cò'}
{58335: ' DN'}
{80330: ' Viet'}
{6753: ' ê'}
{100959: '/th'}
{82867: ' manh'}
{50397: ' TT'}
{89581: ' Đế'}
{54061: 'SN'}
{36856: ' GD'}
{32353: 'ồm'}
{55272: ' Ô'}
{36224: ' rét'}
{82647: ' Tông'}
{46132: ' Xu'}
{104783: ' Bá'}
{35756: 'NN'}
{43879: ' PV'}
{47639: ' xen'}
{10703: ' NS'}
{89585: ' rà'}
{124536: ' Tên'}
{28755: ' Nguy'}
{8846: 'ắ'}
{46890: ' GDP'}
{36495: 'Tri'}
{92934: ' SEA'}
{77714: ' xi'}
{82905: ' Cá'}
{20018: '/kg'}
{33343: ' cholesterol'}
{90743: ',...'}
{21604: ' việ'}
{37396: ' Bé'}
{121655: ' ASEAN'}
{39737: ' Mau'}
{28471: ' chiế'}
{112904: 'ầng'}
{33037: ' hormone'}
{70254: 'Ban'}
{12497: '-th'}
{39287: ' GS'}
{98515: ' cúp'}
{128452: 'Xu'}
{74261: ' Xe'}
{89435: ' BV'}
{115217: ' Sân'}
{20169: None}
{117935: ' Cai'}
{47925: ' Palestine'}
{39879: ' Gó'}
{76609: ' VK'}
{38050: ' BS'}
{24553: ' ráp'}
{108739: ' BH'}
{65109: ' HCV'}
{30281: ' bén'}
{86533: ' QU'}
{40488: ' USS'}
{105216: ' Crimea'}
{116308: 'Cha'}
{97443: ' Gio'}
{69094: 'Chi'}
{65408: '-Th'}
{29925: ' TC'}
{109403: '(The'}
{95109: ' Ấ'}
{11160: None}
{11024: ' container'}
{39846: ' Hungary'}
{61159: 'PV'}
{82400: ' UAE'}
{32702: ' Mong'}
{21822: '-ph'}
{57431: ' TN'}
{64406: ' rè'}
{95868: ' caffeine'}
{45741: '/ch'}
{35769: 'Song'}
{71667: ' carbohydrate'}
{121435: ' Khmer'}
{34039: ' collagen'}
{60184: ' Seoul'}
{41501: 'xc'}
{105583: ' Dao'}
{118401: ' Donetsk'}
{24169: '%;'}
{87995: ' NN'}
{17917: ' enzyme'}
{102147: '/Q'}
{114523: 'nex'}
{124635: ' PCC'}
{114966: ' quai'}
{101228: None}
{98697: ' Tehran'}
{96030: ' Baghdad'}
{108356: ' VH'}
{108525: ' Seo'}
{127841: ' Trafford'}
{67518: ' Than'}
{116271: ' Nguyen'}
{35209: '>>>'}
{102748: ' Kyiv'}
{56052: ' CSV'}
{19562: 'ẩ'}
{124268: 'cao'}
{98674: '-League'}
{127079: ' HN'}
{81412: 'xb'}
{101941: 'Trọng'}
{28564: 'Phi'}
{6936: 'iệ'}
{99762: ' Siberia'}
{42812: ' dioxide'}
{92273: 'League'}
{108181: ' Fernandes'}
{9947: '=>'}
{130721: ' BX'}
{15349: 'iể'}
{50623: 'Clip'}
{123173: ' húng'}
{56241: 'ophen'}
{93138: ' Chá'}
{81764: ' logistics'}
{67414: ' Napoléon'}
{124688: ' rebound'}
{96814: ' CTC'}
{51001: 'ểu'}
{124128: '-trick'}
{72050: ' CNT'}
{77613: ' corticost'}
{6040: 'ầ'}
{105929: ' Greenland'}
{126532: ' histamine'}
{128915: ' Bhutan'}
{78037: ' triglycer'}
{126085: ' lactic'}
{85486: ' ozone'}
{124057: ' MTT'}
{126311: ' fructose'}
{98068: ' xy'}
{107607: ' polyphen'}
{60152: ' photon'}
{33764: ' Áng'}
{44726: ' methanol'}
{16167: ' đị'}
{111959: ' glycogen'}
{7768: None}
{52683: 'Than'}
{3362: None}
{81810: '(the'}
{117039: ' cholin'}
{129174: ' tryptophan'}
{128699: '-mét'}
{72755: ' nitric'}
{78992: ' phenol'}
{107663: ' formaldehyde'}
{45699: ' cytokine'}
{117320: '.Long'}
{48039: ' phosphat'}
{19196: None}
{26421: ' lớ'}
{60736: 'aldehyde'}
{62997: ' sucrose'}
{99483: 'energic'}
{94184: ' lysine'}
{88083: ' adenosine'}
{126151: ' ribosome'}
{85355: ' phenolic'}
{76207: 'lamide'}
{123130: ' catechol'}
{49302: ' carbohyd'}
{109070: ' glycoprotein'}
{130924: ' thrombin'}
{130970: '.GL'}
